gene,human_disease_association
FANCI,Attention deficit hyperactivity disorder
FANCL,"Attention deficit hyperactivity disorder, Endogenous depression"
FAP,"Inflammatory bowel disease, Vitiligo, Hypothyroidism, Autoimmune thyroiditis, Ulcerative colitis, Psoriasis, Systemic lupus erythematosus"
FAR2,Androgenic alopecia
FARP1,"Heart disease, Endogenous depression, Gastroesophageal reflux disease"
FARP2,"Inflammatory bowel disease, Prostate carcinoma, Chronic lymphocytic leukemia, Vitiligo"
FAS,"Chronic lymphocytic leukemia, Juvenile rheumatoid arthritis"
FASLG,"Celiac disease, Vitiligo"
FASN,Attention deficit hyperactivity disorder
FASTK,"Hypertension, Heart disease, Allergic rhinitis, Myocardial infarction, Cerebrovascular disease"
FASTKD5,Hepatitis C
FAT3,"Gestational diabetes, Conduct disorder, Abdominal obesity-metabolic syndrome 1, Retinal detachment, Neuropathy"
FAU,"Abdominal obesity-metabolic syndrome 1, Acne"
FBL,Hodgkin's lymphoma
FBLN7,Bone disease
FBN1,"Intracranial aneurysm, Thoracic aortic aneurysm, Abdominal aortic aneurysm"
FBP1,Atrial fibrillation
FBP2,Colorectal cancer
FBRS,"Systemic lupus erythematosus, Multiple myeloma"
FBRSL1,"Atrial fibrillation, Prostate carcinoma, Hypertension"
FBXL13,Psychotic disorder
FBXL15,Allergic rhinitis
FBXL16,"Bone disease, Attention deficit hyperactivity disorder"
FBXL17,Attention deficit hyperactivity disorder
FBXL19,"Lewy body dementia, Psoriasis"
FBXL22,"Atrial fibrillation, Attention deficit hyperactivity disorder, Endogenous depression"
FBXL6,Plantar fascial fibromatosis
FBXO11,Attention deficit hyperactivity disorder
FBXO18,Atopic dermatitis
FBXO21,Endogenous depression
FBXO24,Autoimmune thyroiditis
FBXO32,"Atrial fibrillation, open-angle glaucoma"
FBXO34,Testicular germ cell cancer
FBXO38,Chronic obstructive pulmonary disease
FBXO42,non-alcoholic fatty liver disease
FBXO43,Basal cell carcinoma
FBXO45,"Vitiligo, Allergic rhinitis"
FBXO46,"Heart disease, Colon cancer, Chronic obstructive pulmonary disease, Myocardial infarction"
FBXO48,"Celiac disease, Vascular disease"
FBXO9,Attention deficit hyperactivity disorder
FBXW2,"Allergic rhinitis, Rheumatoid arthritis"
FBXW8,"Marginal zone B-cell lymphoma, Rheumatoid arthritis"
FBXW9,Pulmonary emphysema
FCAR,"Inflammatory bowel disease, Ulcerative colitis"
FCER1G,Allergic rhinitis
FCF1,"Endogenous depression, Bipolar disorder, Gastroesophageal reflux disease"
FCGR2A,"Inflammatory bowel disease, Kawasaki disease, Takayasu's arteritis, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
FCGR3A,"Inflammatory bowel disease, Kawasaki disease, Takayasu's arteritis, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
FCGR3B,Takayasu's arteritis
FCGRT,"Systemic scleroderma, Myositis, Rheumatoid arthritis, Hodgkin's lymphoma, Systemic lupus erythematosus"
FCHO1,"Heart disease, Myocardial infarction"
FCHO2,Acne
FCHSD2,"Dental caries, Crohn's disease, Systemic lupus erythematosus"
FCN1,Attention deficit hyperactivity disorder
FCN3,Hypertension
FCRL1,"Primary biliary cholangitis, Graves' disease, Rheumatoid arthritis"
FCRL2,"Primary biliary cholangitis, Graves' disease, IgA glomerulonephritis, Rheumatoid arthritis"
FCRL3,"Primary biliary cholangitis, Graves' disease, IgA glomerulonephritis, Rheumatoid arthritis"
FCRL4,"Primary biliary cholangitis, IgA glomerulonephritis"
FDFT1,"Leprosy, Polycystic ovary syndrome, Dilated cardiomyopathy, Testicular germ cell cancer"
FDPS,"Intracranial aneurysm, Lewy body dementia, Gastric adenocarcinoma, Crohn's disease"
FDX1,"Heart disease, Myocardial infarction"
FDX1L,"Inflammatory bowel disease, Primary biliary cholangitis, Hypothyroidism, Systemic scleroderma, Myositis, Juvenile rheumatoid arthritis, Ankylosing spondylitis, Autoimmune thyroiditis, Ulcerative colitis, Crohn's disease, Psoriasis, Systemic lupus erythematosus"
FECH,Gallbladder disease
FEM1A,"Idiopathic pulmonary fibrosis, Vitiligo, Hypothyroidism, Basal cell carcinoma"
FEM1B,Plantar fascial fibromatosis
FEN1,"Inflammatory bowel disease, Colorectal adenoma, Gallbladder disease, Bipolar I disorder, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Aortic valve stenosis, Nasal cavity disease, Asthma, Laryngeal squamous cell carcinoma, Rheumatoid arthritis, Crohn's disease, Colorectal cancer"
FER1L5,Bipolar disorder
FERD3L,Intracranial aneurysm
FERMT1,Inflammatory bowel disease
FERMT2,"Prostate carcinoma, Primary angle-closure glaucoma"
FERMT3,"Hypertension, Vitiligo"
FES,"Autism spectrum disorder, Hypertension, Attention deficit hyperactivity disorder, Heart disease, Endogenous depression, Bipolar disorder, Breast carcinoma, Myocardial infarction"
FEV,"Tooth agenesis, Androgenic alopecia, Dental caries, Acne"
FEZ1,"estrogen-receptor positive breast cancer, estrogen-receptor negative breast cancer, Breast carcinoma"
FEZF1,Attention deficit hyperactivity disorder
FGA,Vascular disease
FGB,Vascular disease
FGD1,Prostate carcinoma
FGD4,Hypertension
FGD5,"Hypertension, Heart disease, Myocardial infarction"
FGD6,"Kuhnt-Junius degeneration, Intracranial aneurysm, Heart disease, Endometriosis, Chronic obstructive pulmonary disease, Myocardial infarction"
FGF1,Heart disease
FGF10,"Prostate carcinoma, Basal cell carcinoma, Acne"
FGF11,"Atrial fibrillation, Uterine fibroid, Central nervous system cancer"
FGF17,Atrial fibrillation
FGF18,"Chronic obstructive pulmonary disease, Osteoarthritis"
FGF19,"Breast carcinoma, Multiple myeloma"
FGF21,"Inflammatory bowel disease, Gallbladder disease, non-alcoholic fatty liver disease, Cholelithiasis, Attention deficit hyperactivity disorder, Behcet's disease, Dental caries, Crohn's disease, Psoriasis, Colorectal cancer"
FGF23,"Colorectal adenoma, Psoriasis, Colorectal cancer"
FGF5,"Androgenic alopecia, Atrial fibrillation, Hypertension, Myocardial infarction, Chronic kidney disease"
FGF7,"Breast carcinoma, Lung adenocarcinoma, Hyperthyroidism"
FGF8,Atrial fibrillation
FGFBP3,Attention deficit hyperactivity disorder
FGFR1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Cleft lip"
FGFR1OP,"Inflammatory bowel disease, Primary biliary cholangitis, Vitiligo, Graves' disease, Hypothyroidism, Basal cell carcinoma, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease"
FGFR1OP2,Hodgkin's lymphoma
FGFR2,"Cancer, Breast carcinoma"
FGFR3,Osteoarthritis
FGFR4,"Uterine fibroid, Cleft lip"
FGFRL1,"Bone disease, Primary biliary cholangitis, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
FGG,Vascular disease
FGGY,Attention deficit hyperactivity disorder
FGR,Myocardial infarction
FHAD1,Alcoholic pancreatitis
FHIT,"Autism spectrum disorder, Intracranial aneurysm, Endogenous depression"
FHL3,"Colorectal adenoma, Heart disease, Autoimmune thyroiditis, Colorectal cancer"
FHL5,"Intracranial aneurysm, Myocardial infarction"
FHOD3,Dilated cardiomyopathy
FHR2,"Age related macular degeneration, Kuhnt-Junius degeneration, Skin disease"
FIBP,"Inflammatory bowel disease, Chronic lymphocytic leukemia, Basal cell carcinoma, Atopic dermatitis, Breast carcinoma, Allergic rhinitis, Crohn's disease"
FIGLA,"Swine influenza, Atopic dermatitis, Allergic rhinitis"
FIGN,"Attention deficit hyperactivity disorder, Myocardial infarction"
FIGNL1,"DOID:7061, Acute lymphoblastic leukemia"
FILIP1,Osteoarthritis
FILIP1L,"Age related macular degeneration, Breast carcinoma, Cleft lip"
FIP1L1,"Artery disease, Uterine fibroid"
FIS1,Attention deficit hyperactivity disorder
FKBP10,"Esophageal carcinoma, Squamous cell carcinoma"
FKBP11,"Osteoporosis, Bipolar disorder"
FKBP14,Psoriasis
FKBP1B,Endogenous depression
FKBP2,"Leprosy, Hypertension, Attention deficit hyperactivity disorder, Primary biliary cholangitis, Vitiligo, Sclerosing cholangitis, Basal cell carcinoma, Crohn's disease, Psoriasis, Alopecia areata"
FKBP5,"Colorectal adenoma, Heart disease, Hypothyroidism, Autoimmune thyroiditis, Colorectal cancer"
FKBP7,Atrial fibrillation
FKBP8,"Attention deficit hyperactivity disorder, Heart disease, Dental caries, Breast carcinoma"
FKBPL,"Autism spectrum disorder, Prostate carcinoma, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Sarcoidosis, Heart disease, Hepatitis B, Chronic obstructive pulmonary disease, Atopic dermatitis, Lung carcinoma, Lung squamous cell carcinoma, Systemic scleroderma, Cervical cancer, Ulcerative colitis, Neuromyelitis optica, Psoriatic arthritis, Systemic lupus erythematosus, Colorectal cancer"
FKRP,"Chronic lymphocytic leukemia, Attention deficit hyperactivity disorder, Sclerosing cholangitis"
FLAD1,"Inflammatory bowel disease, Atrial fibrillation, non-alcoholic fatty liver disease, Prostate carcinoma, Attention deficit hyperactivity disorder, Basal cell carcinoma, Breast carcinoma, Ovarian carcinoma, Skin melanoma"
FLG,"Atopic dermatitis, Systemic scleroderma, Allergic rhinitis"
FLG2,"Atopic dermatitis, Systemic scleroderma, Allergic rhinitis"
FLI1,"Atrial fibrillation, Chronic lymphocytic leukemia, Vitiligo, Mature B-cell neoplasm, Rheumatoid arthritis, Systemic lupus erythematosus"
FLII,"Attention deficit hyperactivity disorder, Basal cell carcinoma"
FLNA,Testicular germ cell cancer
FLNB,"Limited scleroderma, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Systemic lupus erythematosus"
FLNC,"Atrial fibrillation, Primary biliary cholangitis, Sjogren's syndrome, Dilated cardiomyopathy, Systemic scleroderma, Myositis, Rheumatoid arthritis, Hodgkin's lymphoma, Ulcerative colitis, Systemic lupus erythematosus"
FLOT1,"Cutaneous lupus erythematosus, Autism spectrum disorder, Prostate carcinoma, Age related macular degeneration, Endogenous depression, Chronic obstructive pulmonary disease, Lung carcinoma, Cervical cancer, Autoimmune thyroiditis, Psoriatic arthritis, Colorectal cancer"
FLRT1,Bipolar disorder
FLT1,"Heart disease, Myocardial infarction"
FLT3,"Hypothyroidism, Pancreatic carcinoma, Autoimmune thyroiditis"
FLVCR2,"Marginal zone B-cell lymphoma, Carpal tunnel syndrome"
FMN1,"Colorectal adenoma, Hypospadias, Skin melanoma, Colorectal cancer"
FMNL1,Hypothyroidism
FMNL2,open-angle glaucoma
FMNL3,"Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome"
FMO1,Intracranial aneurysm
FMO4,Intracranial aneurysm
FN1,"Heart disease, Endometriosis, Myocardial infarction"
FNBP1,Prostate carcinoma
FNBP1L,Abdominal obesity-metabolic syndrome 1
FNBP4,"Hypertension, Endogenous depression"
FNDC1,"Celiac disease, Rheumatoid arthritis, Crohn's disease, Psoriasis"
FNDC3B,"Heart disease, Glaucoma"
FNDC4,"Disease of metabolism, Inflammatory bowel disease, Gallbladder disease, non-alcoholic fatty liver disease, Gout, Abdominal obesity-metabolic syndrome 1, Nephrolithiasis, Crohn's disease"
FOLR4,Obstructive sleep apnea
FOPNL,"Heart disease, Multiple myeloma"
FOS,"Inflammatory bowel disease, Crohn's disease"
FOSL1,"Inflammatory bowel disease, Basal cell carcinoma, Breast carcinoma, Crohn's disease"
FOSL2,"Inflammatory bowel disease, Allergic rhinitis, Crohn's disease"
FOXA1,Allergic rhinitis
FOXA2,Hypothyroidism
FOXA3,"Gallbladder disease, Heart disease, Colon cancer, Chronic obstructive pulmonary disease, Myocardial infarction"
FOXC1,"open-angle glaucoma, Heart disease"
FOXC2,Colorectal cancer
FOXD2,Androgenic alopecia
FOXD3,Skin melanoma
FOXE1,"Hypothyroidism, Thyroid gland carcinoma, Autoimmune thyroiditis, Hyperthyroidism"
FOXE3,Androgenic alopecia
FOXF2,"Breast carcinoma, Cerebrovascular disease"
FOXI3,Tooth agenesis
FOXL1,"Dental caries, Colorectal cancer"
FOXL2,"Androgenic alopecia, Reactive cutaneous fibrous lesion"
FOXL2NB,"Androgenic alopecia, Reactive cutaneous fibrous lesion"
FOXN2,Colorectal cancer
FOXN4,Cervical cancer
FOXO1,"Disease of cellular proliferation, Allergic rhinitis"
FOXO3,Attention deficit hyperactivity disorder
FOXO4,Prostate carcinoma
FOXO6,Attention deficit hyperactivity disorder
FOXP1,"Inflammatory bowel disease, Tooth agenesis, Autism spectrum disorder, Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome, Vitiligo, Sclerosing cholangitis, Squamous cell carcinoma, Nasal cavity disease, Basal cell carcinoma, Esophagus adenocarcinoma, Juvenile rheumatoid arthritis, Gastroesophageal reflux disease, Anorexia nervosa, Barrett's esophagus"
FOXP2,"Attention deficit hyperactivity disorder, Gastroesophageal reflux disease"
FOXP4,"Prostate carcinoma, Lung carcinoma, Lung non-small cell carcinoma, Lung adenocarcinoma"
FOXQ1,"Breast carcinoma, Cerebrovascular disease"
FOXR1,"Inflammatory bowel disease, Heart disease, Primary biliary cholangitis, Allergic rhinitis"
FRA10AC1,Breast carcinoma
FRAS1,Rheumatoid arthritis
FREM3,Malaria
FRK,"Idiopathic scoliosis, Age related macular degeneration"
FRMD1,Kawasaki disease
FRMD3,Hypertension
FRMD4A,Basal cell carcinoma
FRMD4B,"Atrial fibrillation, Celiac disease"
FRMD6,Thoracic aortic aneurysm
FRMD8,open-angle glaucoma
FRS2,Atrial fibrillation
FRS3,Colorectal cancer
FRY,"estrogen-receptor negative breast cancer, Prostate carcinoma, Squamous cell carcinoma, Basal cell carcinoma, Breast carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Ovarian carcinoma, Lung small cell carcinoma, Endometrioid ovary carcinoma, Colorectal cancer"
FSBP,Cleft lip
FSCN2,"Age related macular degeneration, Kuhnt-Junius degeneration"
FSHB,"Polycystic ovary syndrome, Endometriosis"
FSHR,"Prostate carcinoma, Polycystic ovary syndrome, Impotence"
FST,Acne
FSTL4,"non-alcoholic fatty liver disease, Chronic obstructive pulmonary disease"
FSTL5,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar disorder"
FTCDNL1,"Attention deficit hyperactivity disorder, Osteoporosis"
FTH1,Asthma
FTO,"Obstructive sleep apnea, estrogen-receptor negative breast cancer, Idiopathic scoliosis, non-alcoholic fatty liver disease, Sensorineural hearing loss, Heart disease, Vitiligo, Abdominal obesity-metabolic syndrome 1, Melanoma, Bipolar disorder, Breast carcinoma, Leukopenia, Chronic kidney disease, Osteoarthritis, Psoriasis, Obesity"
FTSJ2,"Attention deficit hyperactivity disorder, Endogenous depression"
FUBP1,"Lung carcinoma, Lung adenocarcinoma"
FUBP3,Bone disease
FUCA2,Inflammatory bowel disease
FUNDC2,Vascular disease
FURIN,"Autism spectrum disorder, Hypertension, Attention deficit hyperactivity disorder, Heart disease, Endogenous depression, Bipolar disorder, Breast carcinoma, Myocardial infarction"
FUS,"Graves' disease, Autoimmune thyroiditis, Systemic lupus erythematosus"
FUT1,"Inflammatory bowel disease, Gallbladder disease, non-alcoholic fatty liver disease, Cholelithiasis, Attention deficit hyperactivity disorder, Behcet's disease, Dental caries, Crohn's disease, Psoriasis, Colorectal cancer"
FUT11,"Myocardial infarction, Psoriasis"
FUT2,"Inflammatory bowel disease, Gallbladder disease, non-alcoholic fatty liver disease, Cholelithiasis, Attention deficit hyperactivity disorder, Behcet's disease, Dental caries, Crohn's disease, Psoriasis, Colorectal cancer"
FUT3,"Gallbladder disease, Cholelithiasis, Age related macular degeneration, Kuhnt-Junius degeneration"
FUT5,"Gallbladder disease, Cholelithiasis, Age related macular degeneration, Kuhnt-Junius degeneration"
FUT6,"Gallbladder disease, Cholelithiasis, Age related macular degeneration, Kuhnt-Junius degeneration"
FXR1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Anorexia nervosa"
FXR2,"triple-receptor negative breast cancer, Brain glioma, Atrial fibrillation, Uterine fibroid, Abdominal obesity-metabolic syndrome 1, Melanoma, Basal cell carcinoma, IgA glomerulonephritis, Glioblastoma, Esophagus squamous cell carcinoma, Neuroblastoma, Skin melanoma"
FXYD1,"Sensorineural hearing loss, Hodgkin's lymphoma"
FXYD3,"Sensorineural hearing loss, Hodgkin's lymphoma"
FXYD5,"Sensorineural hearing loss, Hodgkin's lymphoma"
FXYD7,"Sensorineural hearing loss, Hodgkin's lymphoma"
FYB,"Age related macular degeneration, Kuhnt-Junius degeneration"
FYN,"Attention deficit hyperactivity disorder, Skin disease, Autoimmune thyroiditis, Psoriasis, Psoriatic arthritis"
FZD10,Androgenic alopecia
FZD7,Attention deficit hyperactivity disorder
FZD9,Abdominal obesity-metabolic syndrome 1
FZR1,Skin melanoma
G3BP2,Testicular germ cell cancer
G6PC2,Abdominal obesity-metabolic syndrome 1
G6PC3,Bipolar disorder
GAA,Psoriasis
GAB2,Testicular germ cell cancer
GABARAP,"Hypothyroidism, Vascular disease, Autoimmune thyroiditis"
GABARAPL2,"Attention deficit hyperactivity disorder, Plantar fascial fibromatosis"
GABBR1,"Cutaneous lupus erythematosus, Autism spectrum disorder, Endogenous depression, Lung carcinoma, Psoriatic arthritis, Nasopharyngeal disease"
GABPB1,Osteoarthritis
GABPB2,"Attention deficit hyperactivity disorder, Heart disease, Osteoporosis, Myocardial infarction, Neuroblastoma, Skin melanoma"
GABRA2,"Attention deficit hyperactivity disorder, Idiopathic generalized epilepsy"
GABRA4,Attention deficit hyperactivity disorder
GABRA6,Attention deficit hyperactivity disorder
GABRB1,Attention deficit hyperactivity disorder
GABRB2,"Attention deficit hyperactivity disorder, Liver disease"
GABRD,Swine influenza
GABRG1,"Attention deficit hyperactivity disorder, Uterine fibroid"
GABRR1,Chronic kidney disease
GABRR2,Chronic kidney disease
GADD45B,Sensorineural hearing loss
GADD45G,"Abdominal obesity-metabolic syndrome 1, Cleft lip"
GADD45GIP1,Bipolar disorder
GADL1,Breast carcinoma
GAGE1,Vitiligo
GAGE12C,Vitiligo
GAGE12D,Vitiligo
GAGE12E,Vitiligo
GAGE12F,Vitiligo
GAGE12G,Vitiligo
GAGE12H,Vitiligo
GAGE2A,Vitiligo
GAK,"Bone disease, Primary biliary cholangitis, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
GAL,Bone disease
GAL3ST1,Creutzfeldt-Jakob disease
GAL3ST2,"Brain glioma, Asthma, Allergic rhinitis, Crohn's disease"
GAL3ST3,"Bipolar I disorder, Obesity"
GALC,"Inflammatory bowel disease, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
GALK2,"Lung adenocarcinoma, Hyperthyroidism"
GALNT10,Autism spectrum disorder
GALNT12,"Colorectal adenoma, Chronic obstructive pulmonary disease, Colorectal cancer"
GALNT13,Schizoaffective disorder
GALNT14,"Eosinophilic esophagitis, Oropharynx cancer"
GALNT16,Endogenous depression
GALNT2,Abdominal obesity-metabolic syndrome 1
GALNT4,"Hypertension, Intracranial aneurysm, Heart disease, Myocardial infarction"
GALNT9,Hypertension
GALR1,Thoracic aortic aneurysm
GALR3,Sensorineural hearing loss
GALT,"Idiopathic scoliosis, Hypertension, Rheumatoid arthritis"
GAPVD1,Attention deficit hyperactivity disorder
GAR1,"Age related macular degeneration, Kuhnt-Junius degeneration"
GART,"Inflammatory bowel disease, Crohn's disease, Psoriasis"
GAS2L1,Breast carcinoma
GAS2L3,Attention deficit hyperactivity disorder
GAS7,"Inflammatory bowel disease, open-angle glaucoma, Crohn's disease"
GAS8,"Vitiligo, Cancer, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Photosensitivity disease, Skin melanoma"
GAST,"Esophageal carcinoma, Squamous cell carcinoma"
GATA2,Prostate carcinoma
GATA3,"Asthma, DOID:7061, Rheumatoid arthritis, Hodgkin's lymphoma, Hodgkin's lymphoma, nodular sclerosis, Colorectal cancer, Acute lymphoblastic leukemia"
GATA4,"Atrial fibrillation, Gallbladder disease, Polycystic ovary syndrome, Endogenous depression, Chronic obstructive pulmonary disease, Esophagus adenocarcinoma, Testicular germ cell cancer, Rheumatoid arthritis, Autoimmune thyroiditis, Systemic lupus erythematosus, Barrett's esophagus"
GATA5,"Atrial fibrillation, Prostate carcinoma, Prostatic hypertrophy, Retinal disease, Colorectal cancer"
GATAD2A,"non-alcoholic fatty liver disease, Prostate carcinoma, Gilles de la Tourette syndrome, Alcoholic liver cirrhosis, Bipolar disorder, Breast carcinoma, Ovarian carcinoma, Anorexia nervosa"
GATAD2B,Prostate carcinoma
GATM,Chronic kidney disease
GATSL2,Breast carcinoma
GATSL3,"Heart disease, Rheumatoid arthritis, Crohn's disease"
GBA,"Intracranial aneurysm, Dental caries, Gastric adenocarcinoma, Crohn's disease"
GBAS,Heart disease
GBE1,Attention deficit hyperactivity disorder
GBF1,"Atrial fibrillation, Attention deficit hyperactivity disorder, Allergic rhinitis"
GBGT1,"Idiopathic scoliosis, Malaria, Vascular disease, Pancreatic carcinoma, Stomach carcinoma"
GBX1,Multiple myeloma
GCA,"Inflammatory bowel disease, Vitiligo, Hypothyroidism, Autoimmune thyroiditis, Ulcerative colitis, Psoriasis, Systemic lupus erythematosus"
GCAT,Sensorineural hearing loss
GCK,"Carpal tunnel syndrome, Abdominal obesity-metabolic syndrome 1"
GCKR,"Disease of metabolism, Inflammatory bowel disease, Gallbladder disease, non-alcoholic fatty liver disease, Gout, Abdominal obesity-metabolic syndrome 1, Nephrolithiasis, Crohn's disease"
GCM1,"Attention deficit hyperactivity disorder, Colorectal cancer"
GCNT1,Dental caries
GCNT2,Breast carcinoma
GDA,Abdominal obesity-metabolic syndrome 1
GDF11,"Atrial fibrillation, Age related macular degeneration, Kuhnt-Junius degeneration"
GDF15,"Hypertension, Heart disease, Breast carcinoma, Autoimmune thyroiditis, Gastroesophageal reflux disease, Systemic lupus erythematosus, DOID:9357"
GDF5,"Bone development disease, Skin carcinoma, Osteoarthritis"
GDF7,"Prostate carcinoma, Esophagus adenocarcinoma, Abdominal aortic aneurysm, Barrett's esophagus"
GDPD3,Hodgkin's lymphoma
GDPD5,Heart disease
GDPGP1,"Acne, Alopecia"
GEM,Heart disease
GEMIN4,Prostate carcinoma
GET4,Atrial fibrillation
GFER,Atrial fibrillation
GFI1B,Disease of cellular proliferation
GFM1,Endogenous depression
GFPT1,Dental caries
GFRA2,Pancreatic carcinoma
GGA1,Sensorineural hearing loss
GGA2,Nephrolithiasis
GGA3,"non-alcoholic fatty liver disease, Systemic scleroderma, Systemic lupus erythematosus"
GGACT,Attention deficit hyperactivity disorder
GGCX,"Prostate carcinoma, Heart disease, Breast carcinoma, Ovarian carcinoma, Myocardial infarction"
GGNBP2,"Gilles de la Tourette syndrome, Chronic kidney disease"
GGT1,"non-alcoholic fatty liver disease, Acne"
GGT5,"Heart disease, Myocardial infarction"
GGT6,"Sinusitis, Nasal cavity disease, Allergic rhinitis, Rheumatoid arthritis"
GGT7,"Vascular disease, Skin carcinoma"
GHDC,"Heart disease, Vitiligo, Hypothyroidism, Autoimmune thyroiditis"
GHRHR,"Bone disease, Nephrolithiasis"
GHRL,Autism spectrum disorder
GHSR,Heart disease
GID4,"Autism spectrum disorder, Basal cell carcinoma, Myocardial infarction"
GIGYF1,"Inflammatory bowel disease, Autoimmune thyroiditis"
GIGYF2,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome, Heart disease, Endogenous depression, Bipolar disorder, Anorexia nervosa"
GIMAP5,Carpal tunnel syndrome
GIN1,Diabetes mellitus
GINM1,"Testicular germ cell cancer, Rheumatoid arthritis, Plantar fascial fibromatosis"
GINS1,Attention deficit hyperactivity disorder
GINS3,Primary biliary cholangitis
GIP,Heart disease
GIPC1,"Pancreatic carcinoma, Nephrolithiasis"
GIPC2,"Swine influenza, Lung carcinoma, Lung adenocarcinoma, Crohn's disease"
GIPC3,Skin melanoma
GIPR,Heart disease
GIT1,Heart disease
GJA10,Ankylosing spondylitis
GJA5,Atrial fibrillation
GJA8,Atrial fibrillation
GJB1,Prostate carcinoma
GJC2,Idiopathic scoliosis
GJC3,Interstitial lung disease
GJD4,Eosinophilic esophagitis
GJE1,Chronic obstructive pulmonary disease
GK,Systemic lupus erythematosus
GK5,Testicular germ cell cancer
GKAP1,Attention deficit hyperactivity disorder
GLB1,"Celiac disease, Endogenous depression, Asthma, Atopic dermatitis, Allergic rhinitis"
GLB1L2,Prostate carcinoma
GLB1L3,Prostate carcinoma
GLDC,Osteosarcoma
GLDN,Endometrial carcinoma
GLG1,"Testicular cancer, Testicular germ cell cancer, Multiple myeloma"
GLI1,Heart disease
GLI2,Acne
GLIPR1,Polycystic ovary syndrome
GLIS3,"Primary angle-closure glaucoma, Chronic obstructive pulmonary disease, Osteoarthritis"
GLOD4,Prostate carcinoma
GLP1R,"Heart disease, Myocardial infarction, Nephrolithiasis"
GLRA3,Breast carcinoma
GLRX,"Chronic obstructive pulmonary disease, Multiple myeloma"
GLRX5,Waldenstroem's macroglobulinemia
GLS,"Celiac disease, Primary biliary cholangitis, Systemic scleroderma, Systemic lupus erythematosus"
GLT1D1,Systemic lupus erythematosus
GLT6D1,Periodontitis
GLT8D1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder, Osteoarthritis"
GLTPD2,"Attention deficit hyperactivity disorder, Intracranial aneurysm, Systemic lupus erythematosus"
GLTSCR1L,Attention deficit hyperactivity disorder
GLUD1,Gout
GLYAT,"Inflammatory bowel disease, Ulcerative colitis"
GLYCTK,Autism spectrum disorder
GM2A,Chronic obstructive pulmonary disease
GMCL1,Atrial fibrillation
GMDS,"open-angle glaucoma, Heart disease"
GMEB2,"Idiopathic pulmonary fibrosis, Inflammatory bowel disease, Colorectal adenoma, Brain glioma, Glioblastoma, Atopic dermatitis, Allergic rhinitis, Ulcerative colitis, Crohn's disease, Skin melanoma, Colorectal cancer"
GMFG,"Hepatitis C, Ovarian mucinous adenocarcinoma, Hepatocellular carcinoma"
GMIP,"Gilles de la Tourette syndrome, Alcoholic liver cirrhosis"
GML,Hypertension
GMPPB,"Inflammatory bowel disease, Sclerosing cholangitis, Endogenous depression, Endometriosis, Ulcerative colitis, Crohn's disease"
GMPR,Atrial fibrillation
GMPR2,Language disorder
GMPS,Focal epilepsy
GNA12,"Inflammatory bowel disease, Chronic obstructive pulmonary disease, Ulcerative colitis"
GNAI1,Nicotine dependence
GNAI2,Attention deficit hyperactivity disorder
GNAI3,Breast carcinoma
GNAO1,Cerebrovascular disease
GNAS,Colorectal cancer
GNAT1,Attention deficit hyperactivity disorder
GNAT2,Breast carcinoma
GNAZ,Nephrolithiasis
GNB1,Swine influenza
GNB1L,"Idiopathic scoliosis, Prostate carcinoma, open-angle glaucoma"
GNB2,"Inflammatory bowel disease, Autoimmune thyroiditis"
GNB3,Colorectal cancer
GNB4,Atrial fibrillation
GNG10,Heart disease
GNG12,Endogenous depression
GNG13,Bone disease
GNG2,"Sensorineural hearing loss, Thoracic aortic aneurysm"
GNG8,"Chronic lymphocytic leukemia, Sclerosing cholangitis, Ulcerative colitis"
GNGT2,"Prostate carcinoma, Alzheimer's disease, Attention deficit hyperactivity disorder, Heart disease, Abdominal obesity-metabolic syndrome 1, Myocardial infarction"
GNL2,"Endometrial carcinoma, Ovarian carcinoma"
GNL3,"Bipolar disorder, Osteoarthritis"
GNLY,Idiopathic scoliosis
GNMT,Attention deficit hyperactivity disorder
GNPDA1,"Primary biliary cholangitis, Allergic rhinitis, Crohn's disease"
GNPNAT1,Prostate carcinoma
GNPTAB,Systemic lupus erythematosus
GNS,Prostate carcinoma
GOLGA1,Intracranial aneurysm
